Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebApp,Chrome 72.0.3626.121,,2019-03-13 16:06:07,2019-03-13 16:08:52,2m - 45.301s,PASSED
,,,,,,
Test Cases/WebApp/Create a new issue - call test cases,Chrome 72.0.3626.121,,2019-03-13 16:06:07,2019-03-13 16:06:39,32.105s,PASSED
"callTestCase(findTestCase(""WebApp/Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-13 16:06:07,2019-03-13 16:06:29,21.754s,PASSED
"callTestCase(findTestCase(""WebApp/Create a new issue after login""), [""issue_sum"":""This is my issue"", ""issue_desc"":""It needs to be fixed asap""], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-13 16:06:29,2019-03-13 16:06:39,10.051s,PASSED
,,,,,,
Test Cases/WebApp/Create a new issue - parameterize,Chrome 72.0.3626.121,"Summary: This is the 1st issue
Description: Should be handled asap",2019-03-13 16:06:39,2019-03-13 16:07:13,34.214s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-13 16:06:39,2019-03-13 16:06:40,0.968s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-13 16:06:40,2019-03-13 16:06:41,0.497s,PASSED
"navigateToUrl(""https://id.atlassian.com/login?continue=https%3A%2F%2Fkatalon.atlassian.net%2Flogin%3FredirectCount%3D1"")",Chrome 72.0.3626.121,,2019-03-13 16:06:41,2019-03-13 16:06:44,3.299s,PASSED
"setText(findTestObject(""Object Repository/WebApp/Page_Log in to continue - Log in with Atlassian account/input_Email_username""), username)",Chrome 72.0.3626.121,,2019-03-13 16:06:44,2019-03-13 16:06:44,0.232s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Log in to continue - Log in with Atlassian account/span_Continue""))",Chrome 72.0.3626.121,,2019-03-13 16:06:44,2019-03-13 16:06:44,0.138s,PASSED
"setText(findTestObject(""Object Repository/WebApp/Page_Log in to continue - Log in with Atlassian account/input_Email_username""), username)",Chrome 72.0.3626.121,,2019-03-13 16:06:44,2019-03-13 16:06:47,2.813s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 72.0.3626.121,,2019-03-13 16:06:47,2019-03-13 16:06:47,0.108s,PASSED
"setEncryptedText(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_Enter password_passwd""), encrypted_password)",Chrome 72.0.3626.121,,2019-03-13 16:06:47,2019-03-13 16:06:48,0.258s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_Forgot my password_idSIButton9""))",Chrome 72.0.3626.121,,2019-03-13 16:06:48,2019-03-13 16:06:49,1.171s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_concat(Don  t show this again)_idSIButton9""))",Chrome 72.0.3626.121,,2019-03-13 16:06:49,2019-03-13 16:06:52,3.270s,PASSED
"scrollToElement(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/h1_System dashboard""), 0)",Chrome 72.0.3626.121,,2019-03-13 16:06:52,2019-03-13 16:07:01,9.100s,PASSED
"verifyElementText(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/h1_System dashboard""), homepage_title)",Chrome 72.0.3626.121,,2019-03-13 16:07:01,2019-03-13 16:07:01,0.054s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-13 16:07:01,2019-03-13 16:07:04,3.007s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/button_Dashboards_createGlobalItem""), 0)",Chrome 72.0.3626.121,,2019-03-13 16:07:04,2019-03-13 16:07:04,0.045s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/button_Dashboards_createGlobalItem""))",Chrome 72.0.3626.121,,2019-03-13 16:07:04,2019-03-13 16:07:04,0.119s,PASSED
